Год,ФИО,Форма,Специальность,Ср_ЦТ,Ср_аттестат,Общий_балл,Проходной,Математика,Русский,Физика
2021,Иван Петров,бюджет,Педагогика,61.33,6.69,250.9,257,42,43,99
2021,Анна Петров,целевое,Медицина,58.0,9.97,273.7,251,55,60,59
2021,Мария Петров,платное,Экономика,71.33,9.36,307.6,293,82,90,42
2021,Мария Петров,платное,Медицина,77.0,9.17,322.7,259,78,58,95
2021,Петр Иванов,бюджет,Право,76.33,8.39,312.9,281,68,82,79
2021,Анна Петров,платное,Медицина,92.67,8.53,363.3,255,92,94,92
2021,Иван Иванов,платное,Педагогика,62.33,7.41,261.1,301,57,59,71
2021,Иван Иванов,платное,Программная инженерия,68.67,6.87,274.7,332,87,79,40
2021,Анна Петров,бюджет,Педагогика,68.0,8.06,284.6,340,86,44,74
2021,Сергей Иванов,бюджет,Программная инженерия,77.33,6.01,292.1,350,89,51,92
2021,Петр Иванов,бюджет,Экономика,86.67,7.26,332.6,277,93,75,92
2021,Анна Сидоров,бюджет,Медицина,75.33,6.52,291.2,262,93,45,88
2021,Анна Сидоров,платное,Право,61.33,8.7,271.0,310,51,43,90
2021,Анна Петров,платное,Экономика,59.33,6.68,244.8,336,58,65,55
2021,Сергей Петров,платное,Педагогика,57.33,8.1,253.0,317,43,57,72
2021,Сергей Иванов,бюджет,Экономика,70.0,9.41,304.1,322,68,94,48
2021,Мария Сидоров,платное,Право,58.0,8.81,262.1,339,58,72,44
2021,Иван Сидоров,платное,Программная инженерия,60.33,6.05,241.5,282,58,63,60
2021,Иван Петров,целевое,Программная инженерия,60.0,9.18,271.8,344,44,60,76
2021,Анна Петров,бюджет,Медицина,45.67,9.32,230.2,334,42,47,48
2021,Мария Петров,платное,Право,86.0,6.6,324.0,297,90,85,83
2021,Мария Петров,бюджет,Медицина,63.0,9.6,285.0,293,45,82,62
2021,Анна Петров,платное,Педагогика,62.67,9.74,285.4,338,62,46,80
2021,Сергей Иванов,платное,Право,65.67,9.42,291.2,325,91,56,50
2021,Петр Иванов,бюджет,Экономика,75.67,7.74,304.4,267,96,42,89
2021,Анна Сидоров,бюджет,Право,84.33,9.44,347.4,310,92,89,72
2021,Петр Петров,бюджет,Медицина,73.33,9.07,310.7,311,79,76,65
2021,Петр Петров,платное,Педагогика,86.0,8.07,338.7,319,96,69,93
2021,Иван Иванов,целевое,Право,75.33,8.36,309.6,278,96,68,62
2021,Мария Петров,бюджет,Экономика,77.0,9.26,323.6,290,66,89,76
2021,Иван Сидоров,платное,Педагогика,55.67,8.26,249.6,270,75,50,42
2021,Петр Иванов,платное,Право,81.33,7.97,323.7,293,93,97,54
2021,Анна Сидоров,платное,Экономика,83.67,9.33,344.3,324,89,97,65
2021,Мария Сидоров,платное,Программная инженерия,54.0,8.71,249.1,344,66,53,43
2021,Анна Иванов,бюджет,Программная инженерия,77.0,7.48,305.8,251,61,79,91
2021,Мария Сидоров,платное,Педагогика,72.0,7.57,291.7,287,81,90,45
2021,Мария Сидоров,бюджет,Педагогика,63.0,7.61,265.1,319,73,41,75
2021,Петр Петров,бюджет,Педагогика,77.33,7.9,311.0,335,74,77,81
2021,Мария Иванов,платное,Право,67.0,6.47,265.7,261,87,58,56
2021,Петр Петров,платное,Педагогика,57.0,8.3,254.0,330,50,56,65
2021,Иван Иванов,платное,Медицина,60.67,8.82,270.2,261,48,65,69
2021,Иван Сидоров,платное,Экономика,72.0,6.19,277.9,289,53,63,100
2021,Иван Иванов,бюджет,Педагогика,74.67,6.06,284.6,303,72,69,83
2021,Петр Сидоров,платное,Право,67.67,8.88,291.8,270,73,86,44
2021,Петр Иванов,целевое,Программная инженерия,86.0,8.08,338.8,269,96,96,66
2021,Иван Иванов,платное,Программная инженерия,59.67,8.88,267.8,336,86,44,49
2021,Анна Иванов,платное,Право,64.0,9.07,282.7,313,58,54,80
2021,Анна Петров,платное,Программная инженерия,69.0,8.39,290.9,251,56,71,80
2021,Иван Сидоров,платное,Экономика,69.33,7.21,280.1,294,60,66,82
2021,Иван Петров,бюджет,Программная инженерия,84.0,9.64,348.4,336,67,87,98
2021,Сергей Сидоров,бюджет,Программная инженерия,86.33,9.67,355.7,303,95,79,85
2021,Мария Иванов,бюджет,Медицина,90.0,8.95,359.5,328,91,97,82
2021,Иван Сидоров,платное,Программная инженерия,67.67,8.79,290.9,264,89,46,68
2021,Сергей Иванов,целевое,Право,84.33,8.2,335.0,292,96,88,69
2021,Мария Иванов,бюджет,Право,51.0,6.68,219.8,344,45,44,64
2021,Сергей Петров,платное,Экономика,59.67,8.12,260.2,272,52,70,57
2021,Иван Иванов,бюджет,Медицина,49.0,8.68,233.8,259,46,53,48
2021,Анна Сидоров,платное,Педагогика,60.0,7.11,251.1,275,48,68,64
2021,Анна Иванов,бюджет,Право,60.67,8.73,269.3,342,48,71,63
2021,Петр Сидоров,бюджет,Медицина,82.33,7.44,321.4,259,52,96,99
2021,Анна Петров,бюджет,Экономика,77.33,8.93,321.3,266,70,79,83
2021,Иван Иванов,бюджет,Экономика,72.0,7.56,291.6,303,86,89,41
2021,Сергей Петров,платное,Право,77.67,6.24,295.4,281,48,100,85
2021,Иван Иванов,платное,Право,47.67,7.09,213.9,304,59,40,44
2021,Сергей Иванов,платное,Экономика,54.0,9.02,252.2,348,63,55,44
2021,Иван Сидоров,платное,Экономика,60.67,9.09,272.9,334,42,97,43
2021,Иван Иванов,платное,Право,64.33,8.67,279.7,331,42,81,70
2021,Анна Петров,платное,Право,62.0,6.3,249.0,271,43,56,87
2021,Мария Сидоров,целевое,Медицина,79.33,9.01,328.1,284,87,64,87
2021,Петр Петров,платное,Экономика,56.0,6.54,233.4,266,44,55,69
2021,Сергей Сидоров,бюджет,Экономика,89.0,9.85,365.5,313,89,96,82
2021,Мария Петров,платное,Медицина,79.0,7.72,314.2,301,68,76,93
2021,Анна Сидоров,бюджет,Экономика,76.0,8.19,309.9,253,64,82,82
2021,Иван Сидоров,бюджет,Экономика,91.0,6.89,341.9,348,99,74,100
2021,Мария Сидоров,бюджет,Медицина,70.33,8.11,292.1,329,44,82,85
2021,Иван Сидоров,бюджет,Педагогика,71.33,8.78,301.8,325,46,97,71
2021,Мария Сидоров,платное,Право,57.67,8.22,255.2,310,52,64,57
2021,Сергей Сидоров,платное,Программная инженерия,58.33,7.51,250.1,336,47,84,44
2021,Сергей Иванов,бюджет,Право,62.0,8.67,272.7,303,43,74,69
2021,Мария Сидоров,бюджет,Экономика,88.67,7.18,337.8,256,78,90,98
2021,Сергей Иванов,платное,Экономика,66.33,7.82,277.2,308,64,57,78
2021,Иван Иванов,бюджет,Право,66.33,8.84,287.4,317,69,61,69
2021,Иван Сидоров,бюджет,Педагогика,82.67,9.89,346.9,297,86,83,79
2021,Сергей Петров,платное,Право,58.67,9.55,271.5,258,57,40,79
2021,Петр Сидоров,бюджет,Программная инженерия,87.0,6.85,329.5,345,82,98,81
2021,Анна Иванов,платное,Экономика,51.33,6.09,214.9,337,71,43,40
2021,Иван Иванов,бюджет,Медицина,55.0,7.96,244.6,306,43,82,40
2021,Анна Петров,платное,Программная инженерия,65.0,9.37,288.7,291,83,48,64
2021,Сергей Иванов,платное,Право,53.33,9.56,255.6,329,60,51,49
2021,Анна Петров,бюджет,Право,88.33,7.3,338.0,322,93,94,78
2021,Мария Петров,бюджет,Экономика,74.33,7.07,293.7,332,67,96,60
